ID1	102471	152317
ID10	143902	147118
ID11	121654	147332
ID11	64161	64895
ID12	135396	139827
ID12	35243	36015
ID13	139468	139629
ID14	140412	147266
ID14	1	4414
ID15	129528	149382
ID15	1	6184
ID16	138359	148717
ID17	138464	140301
ID18	138433	152099
ID19	146215	149114
ID2	122340	154779
ID2	108386	113932
ID20	139393	140139
ID21	127231	147800
ID22	147879	148476
ID23	138693	148860
ID23	11269	11895
ID24	139271	151096
ID25	139271	151096
ID25	41432	85716
ID25	167235	169150
ID26	139559	140179
ID26	116674	119728
ID27	146494	150132
ID28	137698	139685
ID29	136861	144455
ID3	145839	148767
ID3	158209	165218
ID30	147209	148352
ID30	73008	84543
ID31	139417	146654
ID32	62218	84586
ID32	130298	132211
ID34	100381	103741
ID35	154044	155324
ID37	158492	162015
ID38	159660	161782
ID39	163064	165718
ID39	86446	89487
ID4	118095	140320
ID40	81409	81834
ID41	33253	40057
ID42	10640	12364
ID43	11145	11476
ID44	1	1316
ID45	1	1587
ID46	1	1325
ID47	167393	167465
ID48	167393	167465
ID49	107070	109382
ID5	145737	152095
ID50	41486	41775
ID51	39878	40075
ID52	113304	119904
ID53	94863	94952
ID54	39518	39772
ID55	42772	47709
ID56	125027	126390
ID57	166862	167023
ID6	147083	147679
ID6	65460	68300
ID7	139276	148389
ID8	140489	145304
ID9	145929	151341
